[2025-05-11 19:42:55.151992 +06:00] INFO [src/main.rs:69] 
Executing Sqlite3 Prerequisites...
[2025-05-11 19:43:03.334129 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.361817 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.439514 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.531637 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.655169 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.717105 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.762489 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.793756 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.840873 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.951332 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:05.966603 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:06.093764 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:06.093754 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
